#	x	y	z	Twist	Chord	Pitch_axis_aft_LE	Relative_thickness
#	[m]	[m]	[m]	[deg]	[m]	[-]	[-]

0.0000000000000000E+00	0.0000000000000000E+00	0.0000000000000000E+00	9.00000000000000000E+00	3.6000000000000000E+00	9.0000000000000000E-01	1.0000000000000000E+02
0.0000000000000000E+00	0.0000000000000000E+00	2.0000000000000000E+00	9.00000000000000000E+00	3.6000000000000000E+00	9.0000000000000000E-01	4.3540000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	3.5000000000000000E+00	8.50000000000000000E+00	3.4500000000000000E+00	8.6200000000000000E-01	3.6250000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	5.0000000000000000E+00	8.00000000000000000E+00	3.3000000000000000E+00	8.2500000000000000E-01	3.0580000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	6.5000000000000000E+00	7.50000000000000000E+00	3.1500000000000000E+00	7.8750000000000000E-01	2.6530000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	8.0000000000000000E+00	7.00000000000000000E+00	3.0000000000000000E+00	7.5000000000000000E-01	2.4100000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	9.5000000000000000E+00	6.50000000000000000E+00	2.8500000000000000E+00	7.1250000000000000E-01	2.2550000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	1.10000000000000000+01	6.00000000000000000E+00	2.7000000000000000E+00	6.7500000000000000E-01	2.1130000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	1.2500000000000000E+01	5.50000000000000000E+00	2.5500000000000000E+00	6.3750000000000000E-01	1.9850000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	1.4000000000000000E+01	5.00000000000000000E+00	2.4000000000000000E+00	6.0000000000000000E-01	1.8700000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	1.5500000000000000E+01	4.50000000000000000E+00	2.2500000000000000E+00	5.6250000000000000E-01	1.7690000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	1.7000000000000000E+01	4.00000000000000000E+00	2.1000000000000000E+00	5.2500000000000000E-01	1.6810000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	1.8500000000000000E+01	3.50000000000000000E+00	1.9500000000000000E+00	4.8750000000000000E-01	1.6070000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	2.0000000000000000E+01	3.00000000000000000E+00	1.8000000000000000E+00	4.5000000000000000E-01	1.5460000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	2.1500000000000000E+01	2.50000000000000000E+00	1.6500000000000000E+00	4.1250000000000000E-01	1.4920000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	2.3000000000000000E+01	2.00000000000000000E+00	1.5000000000000000E+00	3.7500000000000000E-01	1.4380000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	2.4500000000000000E+01	1.50000000000000000E+00	1.3500000000000000E+00	3.3750000000000000E-01	1.3840000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	2.60000000000000004+01	1.00000000000000000E+00	1.2000000000000000E+00	3.0000000000000000E-01	1.3300000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	2.7500000000000000E+01	5.00000000000000000E-01	1.0500000000000000E+00	2.6250000000000000E-01	1.2760000000000000E+01
0.0000000000000000E+00	0.0000000000000000E+00	2.9000000000000000E+01	0.00000000000000000E+00	9.0000000000000000E-01	2.2500000000000000E-01	1.2220000000000000E+01

